Enter the purchase price of your home: $899900.00
Enter the term of the loan in years: 8
Enter a valid term: 30
Enter your down payment percentage: -10.0
Enter a valid down payment percentage: 10.0

Loan amount: $809,910.00
Loan type: 30-Year Fixed, 90% or less LTV at 6.886% APR
Monthly Payment = $5326.49
                           Amortization Table                           

Payment   Interest Payment   Principal Payment    Principal Balance      PMI   
  61         4,369.42              957.07           760,487.62          455.57
  62         4,363.93              962.56           759,525.06          455.57
  63         4,358.41              968.08           758,556.98          455.57
  64         4,352.85              973.64           757,583.34          455.57
  65         4,347.27              979.22           756,604.12          455.57
  66         4,341.65              984.84           755,619.28          455.57
  67         4,336.00              990.49           754,628.79          455.57
  68         4,330.31              996.18           753,632.61          455.57
  69         4,324.60            1,001.89           752,630.72          455.57
  70         4,318.85            1,007.64           751,623.08          455.57
  71         4,313.06            1,013.43           750,609.65          455.57
  72         4,307.25            1,019.24           749,590.41          455.57
  73         4,301.40            1,025.09           748,565.32          455.57
  74         4,295.52            1,030.97           747,534.35          455.57
  75         4,289.60            1,036.89           746,497.46          455.57
  76         4,283.65            1,042.84           745,454.62          455.57
  77         4,277.67            1,048.82           744,405.80          455.57
  78         4,271.65            1,054.84           743,350.96          455.57
  79         4,265.60            1,060.89           742,290.07          455.57
  80         4,259.51            1,066.98           741,223.09          455.57
  81         4,253.39            1,073.10           740,149.99          455.57
  82         4,247.23            1,079.26           739,070.73          455.57
  83         4,241.03            1,085.46           737,985.27          455.57
  84         4,234.81            1,091.68           736,893.59          455.57
  85         4,228.54            1,097.95           735,795.64          455.57
  86         4,222.24            1,104.25           734,691.39          455.57
  87         4,215.90            1,110.59           733,580.80          455.57
  88         4,209.53            1,116.96           732,463.84          455.57
  89         4,203.12            1,123.37           731,340.47          455.57
  90         4,196.68            1,129.81           730,210.66          455.57
  91         4,190.19            1,136.30           729,074.36          455.57
  92         4,183.67            1,142.82           727,931.54          455.57
  93         4,177.11            1,149.38           726,782.16          455.57
  94         4,170.52            1,155.97           725,626.19          455.57
  95         4,163.88            1,162.61           724,463.58          455.57
  96         4,157.21            1,169.28           723,294.30          455.57
  97         4,150.50            1,175.99           722,118.31          455.57
  98         4,143.76            1,182.73           720,935.58          455.57
  99         4,136.97            1,189.52           719,746.06          455.57
 100         4,130.14            1,196.35           718,549.71            0.00
 101         4,123.28            1,203.21           717,346.50            0.00
 102         4,116.37            1,210.12           716,136.38            0.00
 103         4,109.43            1,217.06           714,919.32            0.00
 104         4,102.45            1,224.04           713,695.28            0.00
 105         4,095.42            1,231.07           712,464.21            0.00
 106         4,088.36            1,238.13           711,226.08            0.00
 107         4,081.25            1,245.24           709,980.84            0.00
 108         4,074.11            1,252.38           708,728.46            0.00
 109         4,066.92            1,259.57           707,468.89            0.00
 110         4,059.69            1,266.80           706,202.09            0.00
 111         4,052.42            1,274.07           704,928.02            0.00
 112         4,045.11            1,281.38           703,646.64            0.00
 113         4,037.76            1,288.73           702,357.91            0.00
 114         4,030.36            1,296.13           701,061.78            0.00
 115         4,022.93            1,303.56           699,758.22            0.00
 116         4,015.45            1,311.04           698,447.18            0.00
 117         4,007.92            1,318.57           697,128.61            0.00
 118         4,000.36            1,326.13           695,802.48            0.00
 119         3,992.75            1,333.74           694,468.74            0.00
 120         3,985.09            1,341.40           693,127.34            0.00
 121         3,977.40            1,349.09           691,778.25            0.00
 122         3,969.65            1,356.84           690,421.41            0.00
 123         3,961.87            1,364.62           689,056.79            0.00
 124         3,954.04            1,372.45           687,684.34            0.00
 125         3,946.16            1,380.33           686,304.01            0.00
 126         3,938.24            1,388.25           684,915.76            0.00
 127         3,930.27            1,396.22           683,519.54            0.00
 128         3,922.26            1,404.23           682,115.31            0.00
 129         3,914.21            1,412.28           680,703.03            0.00
 130         3,906.10            1,420.39           679,282.64            0.00
 131         3,897.95            1,428.54           677,854.10            0.00
 132         3,889.75            1,436.74           676,417.36            0.00
 133         3,881.51            1,444.98           674,972.38            0.00
 134         3,873.22            1,453.27           673,519.11            0.00
 135         3,864.88            1,461.61           672,057.50            0.00
 136         3,856.49            1,470.00           670,587.50            0.00
 137         3,848.05            1,478.44           669,109.06            0.00
 138         3,839.57            1,486.92           667,622.14            0.00
 139         3,831.04            1,495.45           666,126.69            0.00
 140         3,822.46            1,504.03           664,622.66            0.00
 141         3,813.83            1,512.66           663,110.00            0.00
 142         3,805.15            1,521.34           661,588.66            0.00
 143         3,796.42            1,530.07           660,058.59            0.00
 144         3,787.64            1,538.85           658,519.74            0.00
 145         3,778.81            1,547.68           656,972.06            0.00
 146         3,769.92            1,556.57           655,415.49            0.00
 147         3,760.99            1,565.50           653,849.99            0.00
 148         3,752.01            1,574.48           652,275.51            0.00
 149         3,742.97            1,583.52           650,691.99            0.00
 150         3,733.89            1,592.60           649,099.39            0.00
 151         3,724.75            1,601.74           647,497.65            0.00
 152         3,715.56            1,610.93           645,886.72            0.00
 153         3,706.31            1,620.18           644,266.54            0.00
 154         3,697.02            1,629.47           642,637.07            0.00
 155         3,687.67            1,638.82           640,998.25            0.00
 156         3,678.26            1,648.23           639,350.02            0.00
 157         3,668.80            1,657.69           637,692.33            0.00
 158         3,659.29            1,667.20           636,025.13            0.00
 159         3,649.72            1,676.77           634,348.36            0.00
 160         3,640.10            1,686.39           632,661.97            0.00
 161         3,630.43            1,696.06           630,965.91            0.00
 162         3,620.69            1,705.80           629,260.11            0.00
 163         3,610.90            1,715.59           627,544.52            0.00
 164         3,601.06            1,725.43           625,819.09            0.00
 165         3,591.16            1,735.33           624,083.76            0.00
 166         3,581.20            1,745.29           622,338.47            0.00
 167         3,571.19            1,755.30           620,583.17            0.00
 168         3,561.11            1,765.38           618,817.79            0.00
 169         3,550.98            1,775.51           617,042.28            0.00
 170         3,540.79            1,785.70           615,256.58            0.00
 171         3,530.55            1,795.94           613,460.64            0.00
 172         3,520.24            1,806.25           611,654.39            0.00
 173         3,509.88            1,816.61           609,837.78            0.00
 174         3,499.45            1,827.04           608,010.74            0.00
 175         3,488.97            1,837.52           606,173.22            0.00
 176         3,478.42            1,848.07           604,325.15            0.00
 177         3,467.82            1,858.67           602,466.48            0.00
 178         3,457.15            1,869.34           600,597.14            0.00
 179         3,446.43            1,880.06           598,717.08            0.00
 180         3,435.64            1,890.85           596,826.23            0.00
 181         3,424.79            1,901.70           594,924.53            0.00
 182         3,413.88            1,912.61           593,011.92            0.00
 183         3,402.90            1,923.59           591,088.33            0.00
 184         3,391.86            1,934.63           589,153.70            0.00
 185         3,380.76            1,945.73           587,207.97            0.00
 186         3,369.60            1,956.89           585,251.08            0.00
 187         3,358.37            1,968.12           583,282.96            0.00
 188         3,347.07            1,979.42           581,303.54            0.00
 189         3,335.71            1,990.78           579,312.76            0.00
 190         3,324.29            2,002.20           577,310.56            0.00
 191         3,312.80            2,013.69           575,296.87            0.00
 192         3,301.25            2,025.24           573,271.63            0.00
 193         3,289.62            2,036.87           571,234.76            0.00
 194         3,277.94            2,048.55           569,186.21            0.00
 195         3,266.18            2,060.31           567,125.90            0.00
 196         3,254.36            2,072.13           565,053.77            0.00
 197         3,242.47            2,084.02           562,969.75            0.00
 198         3,230.51            2,095.98           560,873.77            0.00
 199         3,218.48            2,108.01           558,765.76            0.00
 200         3,206.38            2,120.11           556,645.65            0.00
 201         3,194.22            2,132.27           554,513.38            0.00
 202         3,181.98            2,144.51           552,368.87            0.00
 203         3,169.68            2,156.81           550,212.06            0.00
 204         3,157.30            2,169.19           548,042.87            0.00
 205         3,144.85            2,181.64           545,861.23            0.00
 206         3,132.33            2,194.16           543,667.07            0.00
 207         3,119.74            2,206.75           541,460.32            0.00
 208         3,107.08            2,219.41           539,240.91            0.00
 209         3,094.34            2,232.15           537,008.76            0.00
 210         3,081.54            2,244.95           534,763.81            0.00
 211         3,068.65            2,257.84           532,505.97            0.00
 212         3,055.70            2,270.79           530,235.18            0.00
 213         3,042.67            2,283.82           527,951.36            0.00
 214         3,029.56            2,296.93           525,654.43            0.00
 215         3,016.38            2,310.11           523,344.32            0.00
 216         3,003.12            2,323.37           521,020.95            0.00
 217         2,989.79            2,336.70           518,684.25            0.00
 218         2,976.38            2,350.11           516,334.14            0.00
 219         2,962.90            2,363.59           513,970.55            0.00
 220         2,949.33            2,377.16           511,593.39            0.00
 221         2,935.69            2,390.80           509,202.59            0.00
 222         2,921.97            2,404.52           506,798.07            0.00
 223         2,908.18            2,418.31           504,379.76            0.00
 224         2,894.30            2,432.19           501,947.57            0.00
 225         2,880.34            2,446.15           499,501.42            0.00
 226         2,866.31            2,460.18           497,041.24            0.00
 227         2,852.19            2,474.30           494,566.94            0.00
 228         2,837.99            2,488.50           492,078.44            0.00
 229         2,823.71            2,502.78           489,575.66            0.00
 230         2,809.35            2,517.14           487,058.52            0.00
 231         2,794.90            2,531.59           484,526.93            0.00
 232         2,780.38            2,546.11           481,980.82            0.00
 233         2,765.77            2,560.72           479,420.10            0.00
 234         2,751.07            2,575.42           476,844.68            0.00
 235         2,736.29            2,590.20           474,254.48            0.00
 236         2,721.43            2,605.06           471,649.42            0.00
 237         2,706.48            2,620.01           469,029.41            0.00
 238         2,691.45            2,635.04           466,394.37            0.00
 239         2,676.33            2,650.16           463,744.21            0.00
 240         2,661.12            2,665.37           461,078.84            0.00
 241         2,645.82            2,680.67           458,398.17            0.00
 242         2,630.44            2,696.05           455,702.12            0.00
 243         2,614.97            2,711.52           452,990.60            0.00
 244         2,599.41            2,727.08           450,263.52            0.00
 245         2,583.76            2,742.73           447,520.79            0.00
 246         2,568.02            2,758.47           444,762.32            0.00
 247         2,552.19            2,774.30           441,988.02            0.00
 248         2,536.27            2,790.22           439,197.80            0.00
 249         2,520.26            2,806.23           436,391.57            0.00
 250         2,504.16            2,822.33           433,569.24            0.00
 251         2,487.96            2,838.53           430,730.71            0.00
 252         2,471.68            2,854.81           427,875.90            0.00
 253         2,455.29            2,871.20           425,004.70            0.00
 254         2,438.82            2,887.67           422,117.03            0.00
 255         2,422.25            2,904.24           419,212.79            0.00
 256         2,405.58            2,920.91           416,291.88            0.00
 257         2,388.82            2,937.67           413,354.21            0.00
 258         2,371.96            2,954.53           410,399.68            0.00
 259         2,355.01            2,971.48           407,428.20            0.00
 260         2,337.96            2,988.53           404,439.67            0.00
 261         2,320.81            3,005.68           401,433.99            0.00
 262         2,303.56            3,022.93           398,411.06            0.00
 263         2,286.22            3,040.27           395,370.79            0.00
 264         2,268.77            3,057.72           392,313.07            0.00
 265         2,251.22            3,075.27           389,237.80            0.00
 266         2,233.58            3,092.91           386,144.89            0.00
 267         2,215.83            3,110.66           383,034.23            0.00
 268         2,197.98            3,128.51           379,905.72            0.00
 269         2,180.03            3,146.46           376,759.26            0.00
 270         2,161.97            3,164.52           373,594.74            0.00
 271         2,143.81            3,182.68           370,412.06            0.00
 272         2,125.55            3,200.94           367,211.12            0.00
 273         2,107.18            3,219.31           363,991.81            0.00
 274         2,088.71            3,237.78           360,754.03            0.00
 275         2,070.13            3,256.36           357,497.67            0.00
 276         2,051.44            3,275.05           354,222.62            0.00
 277         2,032.65            3,293.84           350,928.78            0.00
 278         2,013.75            3,312.74           347,616.04            0.00
 279         1,994.74            3,331.75           344,284.29            0.00
 280         1,975.62            3,350.87           340,933.42            0.00
 281         1,956.39            3,370.10           337,563.32            0.00
 282         1,937.05            3,389.44           334,173.88            0.00
 283         1,917.60            3,408.89           330,764.99            0.00
 284         1,898.04            3,428.45           327,336.54            0.00
 285         1,878.37            3,448.12           323,888.42            0.00
 286         1,858.58            3,467.91           320,420.51            0.00
 287         1,838.68            3,487.81           316,932.70            0.00
 288         1,818.67            3,507.82           313,424.88            0.00
 289         1,798.54            3,527.95           309,896.93            0.00
 290         1,778.29            3,548.20           306,348.73            0.00
 291         1,757.93            3,568.56           302,780.17            0.00
 292         1,737.45            3,589.04           299,191.13            0.00
 293         1,716.86            3,609.63           295,581.50            0.00
 294         1,696.15            3,630.34           291,951.16            0.00
 295         1,675.31            3,651.18           288,299.98            0.00
 296         1,654.36            3,672.13           284,627.85            0.00
 297         1,633.29            3,693.20           280,934.65            0.00
 298         1,612.10            3,714.39           277,220.26            0.00
 299         1,590.78            3,735.71           273,484.55            0.00
 300         1,569.35            3,757.14           269,727.41            0.00
 301         1,547.79            3,778.70           265,948.71            0.00
 302         1,526.10            3,800.39           262,148.32            0.00
 303         1,504.29            3,822.20           258,326.12            0.00
 304         1,482.36            3,844.13           254,481.99            0.00
 305         1,460.30            3,866.19           250,615.80            0.00
 306         1,438.12            3,888.37           246,727.43            0.00
 307         1,415.80            3,910.69           242,816.74            0.00
 308         1,393.36            3,933.13           238,883.61            0.00
 309         1,370.79            3,955.70           234,927.91            0.00
 310         1,348.09            3,978.40           230,949.51            0.00
 311         1,325.27            4,001.22           226,948.29            0.00
 312         1,302.30            4,024.19           222,924.10            0.00
 313         1,279.21            4,047.28           218,876.82            0.00
 314         1,255.99            4,070.50           214,806.32            0.00
 315         1,232.63            4,093.86           210,712.46            0.00
 316         1,209.14            4,117.35           206,595.11            0.00
 317         1,185.51            4,140.98           202,454.13            0.00
 318         1,161.75            4,164.74           198,289.39            0.00
 319         1,137.85            4,188.64           194,100.75            0.00
 320         1,113.81            4,212.68           189,888.07            0.00
 321         1,089.64            4,236.85           185,651.22            0.00
 322         1,065.33            4,261.16           181,390.06            0.00
 323         1,040.88            4,285.61           177,104.45            0.00
 324         1,016.28            4,310.21           172,794.24            0.00
 325           991.55            4,334.94           168,459.30            0.00
 326           966.68            4,359.81           164,099.49            0.00
 327           941.66            4,384.83           159,714.66            0.00
 328           916.50            4,409.99           155,304.67            0.00
 329           891.19            4,435.30           150,869.37            0.00
 330           865.74            4,460.75           146,408.62            0.00
 331           840.14            4,486.35           141,922.27            0.00
 332           814.40            4,512.09           137,410.18            0.00
 333           788.51            4,537.98           132,872.20            0.00
 334           762.46            4,564.03           128,308.17            0.00
 335           736.28            4,590.21           123,717.96            0.00
 336           709.93            4,616.56           119,101.40            0.00
 337           683.44            4,643.05           114,458.35            0.00
 338           656.80            4,669.69           109,788.66            0.00
 339           630.00            4,696.49           105,092.17            0.00
 340           603.05            4,723.44           100,368.73            0.00
 341           575.95            4,750.54            95,618.19            0.00
 342           548.69            4,777.80            90,840.39            0.00
 343           521.27            4,805.22            86,035.17            0.00
 344           493.70            4,832.79            81,202.38            0.00
 345           465.97            4,860.52            76,341.86            0.00
 346           438.08            4,888.41            71,453.45            0.00
 347           410.02            4,916.47            66,536.98            0.00
 348           381.81            4,944.68            61,592.30            0.00
 349           353.44            4,973.05            56,619.25            0.00
 350           324.90            5,001.59            51,617.66            0.00
 351           296.20            5,030.29            46,587.37            0.00
 352           267.33            5,059.16            41,528.21            0.00
 353           238.30            5,088.19            36,440.02            0.00
 354           209.10            5,117.39            31,322.63            0.00
 355           179.74            5,146.75            26,175.88            0.00
 356           150.21            5,176.28            20,999.60            0.00
 357           120.50            5,205.99            15,793.61            0.00
 358            90.63            5,235.86            10,557.75            0.00
 359            60.58            5,265.91             5,291.84            0.00
 360            30.37            5,296.12                -4.28            0.00
==============================================================================

Mortgage Summary
Total interest paid: $                                            1,107,622.12
Total payment to principal: $                                       809,910.00
Total PMI paid: $                                                    45,101.43
Total payments: $                                                 1,962,633.55
