Enter the purchase price of your home: $150000.00
Enter the term of the loan in years: 15
Enter your down payment percentage: 0.0

Loan amount: $150,000.00
Loan type: 15-Year Fixed, 90.1-100% LTV at 6.658% APR
Monthly Payment = $1319.73
                           Amortization Table                           

Payment   Interest Payment   Principal Payment    Principal Balance      PMI   
  68           613.49              706.24           109,865.11            0.00
  69           609.57              710.16           109,154.95            0.00
  70           605.63              714.10           108,440.85            0.00
  71           601.67              718.06           107,722.79            0.00
  72           597.68              722.05           107,000.74            0.00
  73           593.68              726.05           106,274.69            0.00
  74           589.65              730.08           105,544.61            0.00
  75           585.60              734.13           104,810.48            0.00
  76           581.52              738.21           104,072.27            0.00
  77           577.43              742.30           103,329.97            0.00
  78           573.31              746.42           102,583.55            0.00
  79           569.17              750.56           101,832.99            0.00
  80           565.00              754.73           101,078.26            0.00
  81           560.82              758.91           100,319.35            0.00
  82           556.61              763.12            99,556.23            0.00
  83           552.37              767.36            98,788.87            0.00
  84           548.11              771.62            98,017.25            0.00
  85           543.83              775.90            97,241.35            0.00
  86           539.53              780.20            96,461.15            0.00
  87           535.20              784.53            95,676.62            0.00
  88           530.85              788.88            94,887.74            0.00
  89           526.47              793.26            94,094.48            0.00
  90           522.07              797.66            93,296.82            0.00
  91           517.64              802.09            92,494.73            0.00
  92           513.19              806.54            91,688.19            0.00
  93           508.72              811.01            90,877.18            0.00
  94           504.22              815.51            90,061.67            0.00
  95           499.69              820.04            89,241.63            0.00
  96           495.14              824.59            88,417.04            0.00
  97           490.57              829.16            87,587.88            0.00
  98           485.97              833.76            86,754.12            0.00
  99           481.34              838.39            85,915.73            0.00
 100           476.69              843.04            85,072.69            0.00
 101           472.01              847.72            84,224.97            0.00
 102           467.31              852.42            83,372.55            0.00
 103           462.58              857.15            82,515.40            0.00
 104           457.82              861.91            81,653.49            0.00
 105           453.04              866.69            80,786.80            0.00
 106           448.23              871.50            79,915.30            0.00
 107           443.40              876.33            79,038.97            0.00
 108           438.53              881.20            78,157.77            0.00
 109           433.65              886.08            77,271.69            0.00
 110           428.73              891.00            76,380.69            0.00
 111           423.79              895.94            75,484.75            0.00
 112           418.81              900.92            74,583.83            0.00
 113           413.82              905.91            73,677.92            0.00
 114           408.79              910.94            72,766.98            0.00
 115           403.74              915.99            71,850.99            0.00
 116           398.65              921.08            70,929.91            0.00
 117           393.54              926.19            70,003.72            0.00
 118           388.40              931.33            69,072.39            0.00
 119           383.24              936.49            68,135.90            0.00
 120           378.04              941.69            67,194.21            0.00
 121           372.82              946.91            66,247.30            0.00
 122           367.56              952.17            65,295.13            0.00
 123           362.28              957.45            64,337.68            0.00
 124           356.97              962.76            63,374.92            0.00
 125           351.63              968.10            62,406.82            0.00
 126           346.25              973.48            61,433.34            0.00
 127           340.85              978.88            60,454.46            0.00
 128           335.42              984.31            59,470.15            0.00
 129           329.96              989.77            58,480.38            0.00
 130           324.47              995.26            57,485.12            0.00
 131           318.95            1,000.78            56,484.34            0.00
 132           313.39            1,006.34            55,478.00            0.00
 133           307.81            1,011.92            54,466.08            0.00
 134           302.20            1,017.53            53,448.55            0.00
 135           296.55            1,023.18            52,425.37            0.00
 136           290.87            1,028.86            51,396.51            0.00
 137           285.16            1,034.57            50,361.94            0.00
 138           279.42            1,040.31            49,321.63            0.00
 139           273.65            1,046.08            48,275.55            0.00
 140           267.85            1,051.88            47,223.67            0.00
 141           262.01            1,057.72            46,165.95            0.00
 142           256.14            1,063.59            45,102.36            0.00
 143           250.24            1,069.49            44,032.87            0.00
 144           244.31            1,075.42            42,957.45            0.00
 145           238.34            1,081.39            41,876.06            0.00
 146           232.34            1,087.39            40,788.67            0.00
 147           226.31            1,093.42            39,695.25            0.00
 148           220.24            1,099.49            38,595.76            0.00
 149           214.14            1,105.59            37,490.17            0.00
 150           208.01            1,111.72            36,378.45            0.00
 151           201.84            1,117.89            35,260.56            0.00
 152           195.64            1,124.09            34,136.47            0.00
 153           189.40            1,130.33            33,006.14            0.00
 154           183.13            1,136.60            31,869.54            0.00
 155           176.82            1,142.91            30,726.63            0.00
 156           170.48            1,149.25            29,577.38            0.00
 157           164.11            1,155.62            28,421.76            0.00
 158           157.69            1,162.04            27,259.72            0.00
 159           151.25            1,168.48            26,091.24            0.00
 160           144.76            1,174.97            24,916.27            0.00
 161           138.24            1,181.49            23,734.78            0.00
 162           131.69            1,188.04            22,546.74            0.00
 163           125.10            1,194.63            21,352.11            0.00
 164           118.47            1,201.26            20,150.85            0.00
 165           111.80            1,207.93            18,942.92            0.00
 166           105.10            1,214.63            17,728.29            0.00
 167            98.36            1,221.37            16,506.92            0.00
 168            91.59            1,228.14            15,278.78            0.00
 169            84.77            1,234.96            14,043.82            0.00
 170            77.92            1,241.81            12,802.01            0.00
 171            71.03            1,248.70            11,553.31            0.00
 172            64.10            1,255.63            10,297.68            0.00
 173            57.13            1,262.60             9,035.08            0.00
 174            50.13            1,269.60             7,765.48            0.00
 175            43.09            1,276.64             6,488.84            0.00
 176            36.00            1,283.73             5,205.11            0.00
 177            28.88            1,290.85             3,914.26            0.00
 178            21.72            1,298.01             2,616.25            0.00
 179            14.52            1,305.21             1,311.04            0.00
 180             7.27            1,312.46                -1.42            0.00
==============================================================================

Mortgage Summary
Total interest paid: $                                               87,549.98
Total payment to principal: $                                       150,000.00
Total PMI paid: $                                                     6,952.50
Total payments: $                                                   244,502.48
